State,year1,year2,rise_turbulence
AK,2,6,4
AL,9,13,4
AR,5,7,2
AZ,8,12,4
CA,5,9,4
CO,10,6,-4
CT,8,12,4
DE,3,1,-2
FL,8,21,13
GA,26,29,3
HI,4,6,2
IA,6,15,9
ID,4,7,3
IL,22,12,-10
IN,8,5,-3
KS,13,14,1
KY,10,4,-6
LA,12,13,1
MA,18,27,9
MD,18,10,-8
ME,7,2,-5
MI,9,9,0
MN,8,11,3
MO,11,24,13
MS,12,17,5
MT,2,9,7
NC,26,10,-16
ND,3,0,-3
NE,2,3,1
NH,11,31,20
NJ,12,20,8
NM,6,2,-4
NV,13,4,-9
NY,23,37,14
OH,15,12,-3
OK,7,21,14
OR,1,13,12
PA,33,17,-16
RI,5,6,1
SC,10,22,12
SD,6,6,0
TN,7,10,3
TX,13,6,-7
UT,11,12,1
VA,8,1,-7
VT,3,6,3
WA,15,8,-7
WI,6,9,3
WV,15,15,0
WY,5,4,-1
